Stage 1 Model,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Model,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Decision Tree (Gini),1.38966,1.0000,1.0000,1.0000,1.0000,[[263406 9] [ 2 29937]],1.0000,1.0000,1.0000,1.0000,[[6148166 133 6] [ 106 263273 3] [ 5 2 29937]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Random Forest (Gini),27.68704,1.0000,1.0000,1.0000,1.0000,[[263411 4] [ 0 29939]],1.0000,1.0000,1.0000,1.0000,[[6148166 137 2] [ 106 263274 2] [ 5 0 29939]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Naive Bayes,0.15481,0.3449,0.9058,0.3449,0.4077,[[ 71704 191711] [ 461 29478]],0.9701,0.9957,0.9701,0.9730,[[6148166 18 121] [ 106 71686 191590] [ 5 461 29478]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],KNN (k=5),2.02254,0.9999,0.9999,0.9999,0.9999,[[263390 25] [ 5 29934]],1.0000,1.0000,1.0000,1.0000,[[6148166 132 7] [ 106 263258 18] [ 5 5 29934]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Gradient Boosting,67.66664,0.9999,0.9999,0.9999,0.9999,[[263405 10] [ 6 29933]],1.0000,1.0000,1.0000,1.0000,[[6148166 137 2] [ 106 263268 8] [ 5 6 29933]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Logistic Regression,4.11712,0.9206,0.9130,0.9206,0.9154,[[255542 7873] [ 15419 14520]],0.9963,0.9960,0.9963,0.9961,[[6148166 134 5] [ 106 255408 7868] [ 5 15419 14520]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Decision Tree (Gini),1.41484,1.0000,1.0000,1.0000,1.0000,[[263256 3] [ 2 29940]],1.0000,1.0000,1.0000,1.0000,[[6148283 22 0] [ 145 263234 3] [ 2 2 29940]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Random Forest (Gini),27.51724,1.0000,1.0000,1.0000,1.0000,[[263256 3] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148283 21 1] [ 145 263235 2] [ 2 0 29942]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Naive Bayes,0.16206,0.3450,0.9057,0.3450,0.4077,[[ 71671 191588] [ 462 29480]],0.9702,0.9957,0.9702,0.9730,[[6148283 1 21] [ 145 71670 191567] [ 2 462 29480]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],KNN (k=5),2.11893,0.9999,0.9999,0.9999,0.9999,[[263240 19] [ 5 29937]],1.0000,1.0000,1.0000,1.0000,[[6148283 20 2] [ 145 263220 17] [ 2 5 29937]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Gradient Boosting,68.04941,0.9999,0.9999,0.9999,0.9999,[[263250 9] [ 6 29936]],1.0000,1.0000,1.0000,1.0000,[[6148283 21 1] [ 145 263229 8] [ 2 6 29936]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Logistic Regression,3.96318,0.9206,0.9130,0.9206,0.9154,[[255387 7872] [ 15421 14521]],0.9964,0.9960,0.9964,0.9961,[[6148283 15 7] [ 145 255372 7865] [ 2 15421 14521]]
Naive Bayes,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],Decision Tree (Gini),1.43134,0.9882,0.9919,0.9882,0.9893,[[218646 2683] [ 1 5821]],0.9382,0.9324,0.9382,0.9345,[[5982369 163253 2683] [ 207989 55393 0] [ 24122 1 5821]]
Naive Bayes,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],Random Forest (Gini),27.60748,0.9986,0.9987,0.9986,0.9986,[[221010 319] [ 0 5822]],0.9382,0.9335,0.9382,0.9346,[[5982369 165617 319] [ 207989 55393 0] [ 24122 0 5822]]
Naive Bayes,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],Naive Bayes,0.14984,0.2984,0.9742,0.2984,0.4282,[[ 62032 159297] [ 66 5756]],0.9321,0.9297,0.9321,0.9281,[[5982369 45801 120135] [ 207989 16231 39162] [ 24122 66 5756]]
Naive Bayes,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],KNN (k=5),2.28117,0.9217,0.9807,0.9217,0.9437,[[203545 17784] [ 0 5822]],0.9382,0.9311,0.9382,0.9344,[[5982369 148154 17782] [ 207989 55391 2] [ 24122 0 5822]]
Naive Bayes,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],Gradient Boosting,68.96772,0.9980,0.9981,0.9980,0.9980,[[220873 456] [ 1 5821]],0.9382,0.9334,0.9382,0.9346,[[5982369 165480 456] [ 207989 55393 0] [ 24122 1 5821]]
Naive Bayes,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],Logistic Regression,3.99651,0.8427,0.9673,0.8427,0.8942,[[187482 33847] [ 1884 3938]],0.9378,0.9311,0.9378,0.9341,[[5982369 132803 33133] [ 207989 54679 714] [ 24122 1884 3938]]
KNN (k=5),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],Decision Tree (Gini),1.38174,0.9996,0.9996,0.9996,0.9996,[[266638 127] [ 0 29256]],0.9965,0.9966,0.9965,0.9965,[[6135797 12383 125] [ 9125 254255 2] [ 688 0 29256]]
KNN (k=5),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],Random Forest (Gini),27.34462,0.9998,0.9998,0.9998,0.9998,[[266698 67] [ 0 29256]],0.9965,0.9966,0.9965,0.9965,[[6135797 12441 67] [ 9125 254257 0] [ 688 0 29256]]
KNN (k=5),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],Naive Bayes,0.14937,0.3433,0.9083,0.3433,0.4085,[[ 72816 193949] [ 460 28796]],0.9680,0.9931,0.9680,0.9710,[[6135797 2006 10502] [ 9125 70810 183447] [ 688 460 28796]]
KNN (k=5),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],KNN (k=5),2.21877,0.9946,0.9949,0.9946,0.9947,[[265184 1581] [ 3 29253]],0.9965,0.9966,0.9965,0.9965,[[6135797 10928 1580] [ 9125 254256 1] [ 688 3 29253]]
KNN (k=5),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],Gradient Boosting,68.32909,0.9998,0.9998,0.9998,0.9998,[[266708 57] [ 4 29252]],0.9965,0.9966,0.9965,0.9965,[[6135797 12456 52] [ 9125 254252 5] [ 688 4 29252]]
KNN (k=5),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],Logistic Regression,4.44983,0.9205,0.9134,0.9205,0.9159,[[258328 8437] [ 15085 14171]],0.9930,0.9927,0.9930,0.9928,[[6135797 11759 749] [ 9125 246569 7688] [ 688 15085 14171]]
Gradient Boosting,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],Decision Tree (Gini),1.57249,0.9997,0.9997,0.9997,0.9997,[[258415 76] [ 2 29801]],0.9983,0.9983,0.9983,0.9983,[[6145437 2795 73] [ 7759 255620 3] [ 141 2 29801]]
Gradient Boosting,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],Random Forest (Gini),27.35359,1.0000,1.0000,1.0000,1.0000,[[258483 8] [ 0 29803]],0.9983,0.9983,0.9983,0.9983,[[6145437 2862 6] [ 7759 255621 2] [ 141 0 29803]]
Gradient Boosting,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],Naive Bayes,0.15448,0.3510,0.9049,0.3510,0.4142,[[ 71853 186638] [ 463 29340]],0.9695,0.9938,0.9695,0.9720,[[6145437 1161 1707] [ 7759 70692 184931] [ 141 463 29340]]
Gradient Boosting,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],KNN (k=5),2.33051,0.9989,0.9989,0.9989,0.9989,[[258184 307] [ 4 29799]],0.9983,0.9983,0.9983,0.9983,[[6145437 2577 291] [ 7759 255607 16] [ 141 4 29799]]
Gradient Boosting,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],Gradient Boosting,119.28155,0.9999,0.9999,0.9999,0.9999,[[258476 15] [ 6 29797]],0.9983,0.9983,0.9983,0.9983,[[6145437 2861 7] [ 7759 255615 8] [ 141 6 29797]]
Gradient Boosting,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],Logistic Regression,5.62254,0.9184,0.9109,0.9184,0.9134,[[250274 8217] [ 15319 14484]],0.9948,0.9944,0.9948,0.9945,[[6145437 2377 491] [ 7759 247897 7726] [ 141 15319 14484]]
Logistic Regression,140.34818,0.9510,0.9315,0.9510,0.9376,[[6096087 52218] [ 263492 29834]],Decision Tree (Gini),2.50948,0.9939,0.9964,0.9939,0.9947,[[80846 500] [ 0 706]],0.9510,0.9324,0.9510,0.9375,[[6096087 51718 500] [ 234254 29128 0] [ 29238 0 706]]
Logistic Regression,140.34818,0.9510,0.9315,0.9510,0.9376,[[6096087 52218] [ 263492 29834]],Random Forest (Gini),51.40744,0.9971,0.9978,0.9971,0.9973,[[81109 237] [ 0 706]],0.9510,0.9331,0.9510,0.9375,[[6096087 51982 236] [ 234254 29127 1] [ 29238 0 706]]
Logistic Regression,140.34818,0.9510,0.9315,0.9510,0.9376,[[6096087 52218] [ 263492 29834]],Naive Bayes,0.27737,0.1933,0.9904,0.1933,0.3117,[[15168 66178] [ 17 689]],0.9477,0.9364,0.9477,0.9328,[[6096087 7214 45004] [ 234254 7954 21174] [ 29238 17 689]]
Logistic Regression,140.34818,0.9510,0.9315,0.9510,0.9376,[[6096087 52218] [ 263492 29834]],KNN (k=5),4.28252,0.9532,0.9927,0.9532,0.9698,[[77508 3838] [ 0 706]],0.9510,0.9310,0.9510,0.9375,[[6096087 48383 3835] [ 234254 29125 3] [ 29238 0 706]]
Logistic Regression,140.34818,0.9510,0.9315,0.9510,0.9376,[[6096087 52218] [ 263492 29834]],Gradient Boosting,123.04724,0.9964,0.9974,0.9964,0.9967,[[81047 299] [ 0 706]],0.9510,0.9329,0.9510,0.9375,[[6096087 51920 298] [ 234254 29127 1] [ 29238 0 706]]
Logistic Regression,140.34818,0.9510,0.9315,0.9510,0.9376,[[6096087 52218] [ 263492 29834]],Logistic Regression,5.64898,0.8963,0.9838,0.8963,0.9374,[[73413 7933] [ 574 132]],0.9509,0.9310,0.9509,0.9374,[[6096087 44479 7739] [ 234254 28934 194] [ 29238 574 132]]
